Program,Organization,Description,Status,Environmental_Themes,Services_&_Resources,Title_I_Schools_&_Low_Socioeconomic_Background_Focus,Title_I_School_Participants,Rural_Communities_Focus,Engaging_Rural_Communities,Adaptive_to_Local_Context,Other_Languages,COVID-19_Adaptations,Program_Locations,Program_Times,Groups_Served,Impact_Evaluation,Student_Engagement_Frequency,Teacher/Administrator_Engagement_Frequency,Academic_Standards_Alignment,Academic_Standards,Participant_Tracking,Participants_Served,Students_Served,Schools_Served,Teachers/Administrators_Served,Regions_Served,Timestamp
Aquavision,Texas State Aquarium,Aquavision is an interactive distance learning program that uses live camera feeds of our animal collection and exhibits. ,Available and active in Texas,"Conservation (Wildlife/Habitat), STEM, Waste",Directly Teaching Students,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,No,,This program was well-suited for the pandemic as it is distance learning.  We have had to modify slightly to accommodate many learners joining from home rather than being together in a classroom.,Virtual,"During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Community/Family",Post-Program Survey Only,Multiple times a week,Twice a year,Yes (please list them below),"TEKS, NGSS",Yes,,,,,"Region 2 – Corpus Christi, Region 3 – Victoria, Region 4 – Houston, Region 5 – Beaumont, Region 9 – Wichita Falls, Region 10 – Richardson, Region 11 – Fort Worth, Region 12 – Waco, Region 13 – Austin, Region 15 – San Angelo, Region 17 – Lubbock, Region 20 – San Antonio",44093.41247
Aquifer classes and presentations,San Marcos River Foundation,"We conduct demonstrations of recharge features in the aquifer system and the affects of pollution, drought, over consumption and impervious cover.",Available and active in Texas,Water,"Classroom Volunteers/Presenters, Directly Teaching Students","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,During School Day,Elementary School <K-5>,Do Not Evaluate,Once a year,Once a year,Yes (please list them below),,No (skip the next question),505,500,2,5,"Region 13 – Austin, Region 20 – San Antonio",44146.64385
Audubon Conservation Leaders Program for Young Women,Mitchell Lake Audubon Center,"A year-long program with 4-5 field days, a week-long camping trip in June. Field days include: career panel of women locally in conservation industry, service learning projects, visits to environmental organizations and outdoor adventures.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Other [Climate change]","Directly Teaching Students, Field Trips, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",76-100%,"No, but it is available to rural communities",,Yes,,"we had to cancel programming in the spring of 2020, including our big camp out. For the 20-21 school year, we've updated the layout of the program, now offering 7 virtual lessons, and we're hoping to resume field trips and camping in the spring, but that's dependent on low COVID numbers in all our partner schools. We'll continue to monitor the program needs and abilities in the face of COVID. Lastly, we sent home end of year engagement boxes last year, and plan on sending engagement boxes in the beginning of the year, once all of our students have been chosen. COVID is changing folks interest in the program; they're burnt out and don't really want more virtual programming. ","Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends",High School <9-12>,"Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a month,Multiple times a month,Yes (please list them below),TEKS,Yes,28,28,3,4,"Region 4 – Houston, Region 11 – Fort Worth, Region 20 – San Antonio",44104.47605
Austin Environmental Heroes Summer Program,Austin Youth River Watch,"AYRW collaborates with TreeFolks to serve high school students in a nature-based, service-oriented summer program in environmental science and youth development. Students water and monitor the health of hundreds of trees; collect, analyze, and publish water quality data; perform environmental restoration projects; and participate in outdoor adventure experiences. Students gain leadership skills and are motivated to complete high school and seek STEM and environmental career paths.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Waste, Water, Workforce Development","Directly Teaching Students, Field Trips, Supporting Networks (Online/In-Person), Internships","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,No,Never asked question,Never asked question,Never asked question,Never asked question,Off campus,Summer,High School <9-12>,"Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies), Rubrics for Student Projects/Presentations",Multiple times a week,Not applicable,No (skip the next question),,Yes,46,45,,,Region 13 – Austin,44146.55419
Avian Adventures Outreach Programming,Houston Audubon,"Bird programs for all grade levels focusing on bird conservation, migration, natural history, habitat conservation, and conservation history.",Available and active in Texas,Conservation (Wildlife/Habitat),"Curriculum & Instructional Materials, Directly Teaching Students, Field Trips, Professional Development for Teachers","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,"No, but it is available to rural communities",,Yes,,offering more virtual versions of this program,"On School Campus, Off campus, Virtual",During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Community/Family",Pre/Post-Program Survey,Multiple times a month,Multiple times a month,Yes (please list them below),,Yes,20000,7000,,400,Region 4 – Houston,44125.59925
Back to the Bay,Baytown Nature Center,"Students participate in hands-on activities by performing water analysis on a sample from the bay, seining and cast netting for species identification, learning about invasive and exotic species, and understanding the historical perspective on human impact on the local environment.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","No, this is not a focus in our outreach or programming.",Do not track,No,,Yes,Spanish with advance notice,,Off campus,"During School Day, After School &/or Evenings, Summer, Weekends",High School <9-12>,Do Not Evaluate,Multiple times a month,Multiple times a month,Yes (please list them below),,Yes,750,750,10,10,"Region 4 – Houston, Region 5 – Beaumont",44104.69004
Baylor Aquatic Science Series,Baylor University - Center for Reservoir and Aquatic Systems Research,"CRASR researchers talk about their aquatic science research and journey as scientists once per month during the school year to K-8 learners.  Hosted by Nepris, on-line and available to learners across the U.S.",Available and active in Texas,Water,Directly Teaching Students,We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities",,No,,,Virtual,During School Day,"Elementary School <K-5>, Middle School <6-8>",Do Not Evaluate,Once a month,Once a month,No (skip the next question),,Yes,,,,,All Regions,44090.42483
"Beach Ecology, Marine Dissections, and Floating Classroom",UTRGV - Coastal Studies Lab,"Learn about our jetties, dunes, pollinators, coastal wildlife, and marine habitats. Learn about the anatomy and physiology of the Dogfish Shark, Sea Urchin, Sea Star, or Sea Cucumber through a hands-on or virtual dissection. Marine discovery cruise on the Laguna Madre aboard the R/V Ridley. ","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water","Classroom Volunteers/Presenters, Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,Offered in Virtual Formats,"On School Campus, Off campus, Virtual","During School Day, Summer","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Do Not Evaluate,Once a year,Once a year,Yes (please list them below),TEKS,Yes,3000,2200,25,800,Region 1 – Edinburg,44118.40877
Bexar County Youth Gardens,Texas A&M AgriLife Extension Service - Bexar County,We provide school garden support.,Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, STEM, Water","Curriculum & Instructional Materials, Grant Funding, Professional Development or Consulting for Administrators, Professional Development for Teachers","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,"No, but it is available to rural communities",,Yes,Spanish,Using Online Videos Now,"Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Post-Program Survey Only,Once a week,Once a week,Yes (please list them below),TEKS,Yes,15000,15000,80,200,Region 20 – San Antonio,44104.51484
Bicycle Skills Challenge,Ghisallo Cycling Initiative,"BSC is a hands-on, in-school riding program similar to a bike rodeo. Students learn about helmets, starting, stopping, signaling, scanning and more. All equipment is brought to the site. Students attend the program during their normal PE block.     ",Available and active in Texas,Transportation,Directly Teaching Students,"Yes, this is our core beneficiary and strategic priority.",76-100%,"No, but it is available to rural communities",,Yes,Spanish,Virtual and small group/pod versions of this program are available for different scenarios.  ,"On School Campus, Off campus, Virtual",During School Day,Elementary School <K-5>,Pre/Post-Program Survey,Multiple times a month,Multiple times a month,Yes (please list them below),TEKS,Yes,4206,4206,22,0,"Region 13 – Austin, Region 20 – San Antonio",44089.43948
Bike Club,Ghisallo Cycling Initiative,"Bike Club is a recurring, weekly after school program consisting of a mix of riding, safety, and bicycle maintenance skills. All equipment is provided. Transportation, navigation and exploration are all key focus areas.  ",Available and active in Texas,Transportation,Directly Teaching Students,"Yes, this is our core beneficiary and strategic priority.",76-100%,No,,Yes,Spanish,Virtual and small group/pod versions of this program are available based on conditions.  ,"On School Campus, Off campus, Virtual",After School &/or Evenings,"Elementary School <K-5>, Middle School <6-8>",Do Not Evaluate,Multiple times a month,Multiple times a month,No (skip the next question),,Yes,2185,2185,21,0,"Region 13 – Austin, Region 20 – San Antonio",44089.60756
Biomimicry & Science,EcoRise,"We offer 23 comprehensive, standards-aligned secondary science lessons that introduce students to biomimicry via numerous striking examples, with connections to core content in chemistry, physics, and biology. Includes a Biomimicry Design Challenge module to prepare students to enter the Biomimicry Institute’s Youth Design Challenge on Climate.",Available and active in Texas,"Air Quality, Conservation (Wildlife/Habitat), Energy, STEM, Water","Curriculum & Instructional Materials, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,"No, but it is available to rural communities",,Yes,,,On School Campus,During School Day,"Middle School <6-8>, High School <9-12>, Teachers/Administrators","Qualitative/Informal (Focus Groups, Interviews, Testimonies), Rubrics for Student Projects/Presentations",Multiple times a month,Multiple times a month,Yes (please list them below),TEKS,Yes,,2376,36,44,"Region 1 – Edinburg, Region 4 – Houston, Region 13 – Austin, Region 20 – San Antonio",44103.37343
Bioswale Science Project,Friends of Don Greene,AP Environmental Science students design and implement a Street ditch bioswale to evaluate the facultative value of wetland plants on water quality.,"Available in Texas, but not currently active",Water,"Curriculum & Instructional Materials, Directly Teaching Students, Field Trips, Grant Funding","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",0-25%,No,,Yes,Spanish,,Off campus,After School &/or Evenings,High School <9-12>,"Pre/Post-Program Survey, Rubrics for Student Projects/Presentations",Multiple times a month,Multiple times a month,Yes (please list them below),TEKS,Yes,0,0,0,0,Region 4 – Houston,44106.81447
Bird Buddies,Houston Audubon,Bird Conservation weekly program for 3 - 6 year olds,Available and active in Texas,Conservation (Wildlife/Habitat),"Curriculum & Instructional Materials, Directly Teaching Students","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,No,,Yes,,smaller group size,at our education center,During School Day,"Elementary School <K-5>, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a week,Not applicable,No (skip the next question),,Yes,25,25,0,0,Region 4 – Houston,44125.56393
"Birding Basics, Feathered Friends ",Lewisville Lake Environmental Learning Area (LLELA),"Over 250 species of birds have been spotted at LLELA. In this study, students will get to know some of the most common that are found here. We cover anatomy, adaptations for flight, migration, and bird ID. They will use this information to conduct a citizen science bird count, similar to annual bird censuses that LLELA researchers conduct. ",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning","Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",0-25%,"No, but it is available to rural communities",,Yes,,,Off campus,During School Day,"Elementary School <K-5>, Middle School <6-8>",Do Not Evaluate,Once a year,Once a year,Yes (please list them below),TEKS,Yes,65,65,2,0,"Region 10 – Richardson, Region 11 – Fort Worth",44105.64967
Birding Hikes,Pines and Prairies Land Trust,"Bastrop has been designated a Bird City Texas by Texas Parks and Wildlife and Audubon Texas, meaning it has a great diversity of birds and is a bird friendly city. We are proud of this title and hope to share the love of birds with as many people as possible. In partnership with the Texas Master Naturalists, we offer a free monthly birding hike at the Colorado River Refuge. This hike is led by birding experts and is suitable for all levels of birders and families. ",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning","Classroom Volunteers/Presenters, Directly Teaching Students, Field Trips","No, this is not a focus in our outreach or programming.",Do not track,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,Off campus,Weekends,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators",Do Not Evaluate,Once a month,Once a month,No (skip the next question),,No (skip the next question),,,,,Region 13 – Austin,44146.48581
Blair Woods After-school Program,Travis Audubon,"This is a weekly after-school program in which 3rd-5th grade students are brought to Travis Audubon's Blair Woods Preserve, which is located in/near their neighborhoods, and participate in guided hikes and STEM programming.","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM",Field Trips,"Yes, this is our core beneficiary and strategic priority.",76-100%,No,,Yes,,,Off campus,After School &/or Evenings,Elementary School <K-5>,"Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a week,Not applicable,No (skip the next question),,Yes,0,,,,Region 13 – Austin,44091.43317
Blair Woods Family Nature Days,Travis Audubon,"Provide free mornings of educational activities, guided hikes, and fun presentations to the public at Blair Woods Sanctuary in East Austin.","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM",Other [Family Programs],"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",26-50%,"No, but it is available to rural communities",,Yes,,,Off campus,Weekends,Community/Family,"Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Other [Every other month],Not applicable,No (skip the next question),,Yes,250,,,,Region 13 – Austin,44091.43611
Boater Education,Texas Parks and Wildlife Department (TPWD),"Boating is the mechanism behind many fun recreational activities enjoyed by Texans. Whether one is fishing, hunting, birding, exploring, or taking part in water sports like skiing, wakeboarding, etc., we want to ensure that you’re doing so safely!",Available and active in Texas,"Outdoor Learning, Other [Boating Safety]","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,No,,,"On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Do Not Evaluate,Varies,Varies,No (skip the next question),,No (skip the next question),,,,,All Regions,44098.40189
Break Camps,Austin Nature & Science Center,"Nature-Based camp programming for youth during school breaks.  Activities include nature exploration, adventure activities, and nature crafts","Available in Texas, but not currently active","Air Quality, Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Green Building, Outdoor Learning, STEM, Transportation, Waste, Water",Directly Teaching Students,"No, this is not a focus in our outreach or programming.",Do not track,Yes,,Yes,,Virtual programs will be available in the 20-21 school year,"Off campus, Virtual","During School Day, After School &/or Evenings","Elementary School <K-5>, Middle School <6-8>",Post-Program Survey Only,Multiple times a week,Multiple times a week,No (skip the next question),,Yes,144,,,,Region 13 – Austin,44106.74046
BSEACD Camp Scholarship Program,Barton Springs Edwards Aquifer Conservation District,"Each year the District sponsors a scholarship program where students have the opportunity to receive a scholarship to attend Aquatic Science Adventure Camp in San Marcos, TX. Eligible participants must be between the ages of 9-15 residing within the specified school districts. Students submit their artwork to be entered for a chance to win.","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, STEM, Water",Grant Funding,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",Gives winning recipients the opportunity to attend Aquatic Science Adventure Camp in San Marcos Tx (scholarships),Yes,,"This year's winners recieved an alternative prize because camp sessions were unable to be held in person, however we are hoping for normal scholarships to attend camp for 2021 should public health conditions allow.",Texas State Camp and Campus facilities for the camp (hosted by EARDC Lab),Summer,"Middle School <6-8>, High School <9-12>","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Once a year,Yes (please list them below),TEKS,Yes,7,7,25,,Region 13 – Austin,44104.68266
Business for Social Good,EcoRise,"Business for Social Good introduce students to social entrepreneurship and design innovation while students develop business ideas benefiting society and the environment. BSG includes 26 lessons, a facilitator’s guide, resources, business case studies, online teacher training, year-round support, and access to micro-grants for student projects.",Available and active in Texas,Workforce Development,"Curriculum & Instructional Materials, Grant Funding, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,"No, but it is available to rural communities",,Yes,,,"On School Campus, Virtual",During School Day,"High School <9-12>, Teachers/Administrators","Pre/Post-Program Survey, Post-Program Survey Only, Qualitative/Informal (Focus Groups, Interviews, Testimonies), Rubrics for Student Projects/Presentations",Multiple times a month,Multiple times a month,Yes (please list them below),"TEKS, NGSS, Common Core",Yes,,0,0,0,All Regions,44106.68559
Camp Good Sam,Good Samaritan Community Services,"Camp Good Sam is a six-week, literacy based summer learning program designed to combat summer learning loss.",Available and active in Texas,"Food Systems/Nutrition, Outdoor Learning, STEM","Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,"No, but it is available to rural communities",our Camp Good Sam is located in some rural communities,Yes,Spanish,"Yes, lower ratios and socially distanced classrooms. ","On School Campus, Virtual","After School &/or Evenings, Summer","Elementary School <K-5>, Middle School <6-8>, High School <9-12>","Pre/Post-Program Survey, External Evaluation Partner",Daily,Twice a year,Yes (please list them below),TEKS,Yes,,2599,16,0,"Region 1 – Edinburg, Region 13 – Austin, Region 15 – San Angelo, Region 20 – San Antonio",44109.44151
Camp-in,Texas State Aquarium,Students and scouts have the opportunity to sleep over at the Aquarium and participate in guided educational activities. ,"Available in Texas, but not currently active",Conservation (Wildlife/Habitat),"Directly Teaching Students, Field Trips",We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities",,No,,This program has not been offered since March 2020 due to the COVID-19 pandemic.  Unkown when we will begin to offer it again.,Texas State Aquarium,"After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Post-Program Survey Only,Multiple times a month,Multiple times a month,No (skip the next question),,Yes,474,,2,,"Region 2 – Corpus Christi, Region 4 – Houston, Region 13 – Austin, Region 20 – San Antonio",44093.41662
Campus Campout Program,Families in Nature,"Our FiN Guides support Campus Campouts at their local schools, eliminating the common barriers to spending time outside, such as transportation to parks and fear of going to unfamiliar places. During a campus campout, FIN Guides will teach their community the basics of camping starting on their own school, organization or company’s campus. They emphasize Nearby Nature and help families gain comfort, confidence and competence in the outdoors while staying close to home in a familiar place. ",Available and active in Texas,"Outdoor Learning, STEM",Directly Teaching Students,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,No,Never asked question,Never asked question,Never asked question,Never asked question,Off campus,Weekends,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Not applicable,No (skip the next question),,Yes,,,,,Region 13 – Austin,44146.68201
